customer_id,gender,senior_citizen,has_partner,has_dependents,age,tenure_months,contract,payment_method,internet_service,num_products,monthly_charges,total_charges,support_calls,churn
CUST00001,Male,0,No,No,56,62,One year,Credit card,DSL,2,63.75,3865.93,1.0,0
CUST00002,Male,0,Yes,No,69,58,Two year,Electronic check,No,3,108.27,6257.29,1.0,0
CUST00003,Female,0,Yes,No,46,67,Month-to-month,Bank transfer,No,4,25.19,1641.35,2.0,1
CUST00004,Female,1,No,No,32,56,One year,Bank transfer,Fiber optic,3,39.11,2243.62,1.0,0
CUST00005,Female,0,No,No,60,40,Month-to-month,Mailed check,Fiber optic,3,51.01,1975.86,2.0,1
CUST00006,Female,1,No,Yes,25,40,One year,Mailed check,Fiber optic,3,93.17,3748.27,1.0,1
CUST00007,Male,0,No,No,38,33,One year,Electronic check,DSL,1,84.06,2774.02,4.0,1
CUST00008,Male,0,No,No,56,6,Two year,Electronic check,DSL,3,61.59,360.77,2.0,0
CUST00009,Female,0,No,No,36,19,Month-to-month,Credit card,DSL,1,95.91,1905.87,1.0,1
CUST00010,Male,0,No,No,40,40,Month-to-month,Bank transfer,Fiber optic,3,80.96,3326.38,3.0,1
CUST00011,Female,0,Yes,No,28,59,One year,Electronic check,DSL,2,109.6,6459.18,2.0,0
CUST00012,Male,0,No,No,28,59,Month-to-month,Electronic check,DSL,3,101.8,5988.9,1.0,0
CUST00013,Male,0,Yes,No,41,48,One year,Bank transfer,DSL,2,45.28,2098.1,3.0,1
CUST00014,Female,0,No,No,70,41,Month-to-month,Mailed check,Fiber optic,1,47.14,1932.53,3.0,1
CUST00015,Male,0,Yes,No,53,13,Month-to-month,Mailed check,Fiber optic,1,32.54,520.69,0.0,1
CUST00016,Male,0,Yes,No,57,45,Two year,Electronic check,DSL,4,53.7,2410.06,1.0,1
CUST00017,Male,0,Yes,Yes,41,53,Month-to-month,Electronic check,No,4,119.95,6393.79,0.0,1
CUST00018,Female,0,No,No,20,42,Two year,Mailed check,Fiber optic,2,60.58,2474.49,0.0,0
CUST00019,Male,0,Yes,Yes,39,63,Two year,Bank transfer,DSL,4,42.05,2627.41,3.0,1
CUST00020,Male,0,Yes,No,70,27,One year,Electronic check,DSL,3,96.25,,1.0,0
CUST00021,Male,0,No,No,19,38,Month-to-month,Electronic check,Fiber optic,2,74.25,2826.79,3.0,1
CUST00022,Female,0,Yes,Yes,41,60,Two year,Bank transfer,DSL,1,34.96,2138.83,0.0,1
CUST00023,Male,0,Yes,No,61,7,One year,Credit card,DSL,4,58.07,376.36,2.0,0
CUST00024,Male,0,Yes,Yes,47,5,Month-to-month,Electronic check,Fiber optic,2,61.45,219.75,4.0,1
